time,mean_mastery,mean_performance,mean_unverified_delegation,mean_trust
172,0.34984620420236207,0.9349846204202362,0.1195185771379522,0.2950111122706982
173,0.35084765870247586,0.9350847658702477,0.12098283486423132,0.2982018320994033
174,0.35012682947666,0.935012682947666,0.11791802053616522,0.29448571840776444
175,0.35062567060353494,0.9350625670603534,0.11674064135029587,0.2925788162022286
176,0.3520152796538165,0.9352015279653817,0.1186280754164748,0.29535432239549303
177,0.3523787902676648,0.9352378790267665,0.12165918274779529,0.2969760629307292
178,0.3527287586378681,0.9352728758637867,0.12379176689628842,0.30096889283489325
179,0.35128563129005697,0.9351285631290057,0.12439554539742313,0.30313130334417127
180,0.3487674076486285,0.9348767407648627,0.12538120967799612,0.30325869782295534
181,0.34689854589124036,0.9346898545891239,0.12305615571882768,0.30187366782272834
182,0.3456163323544215,0.9345616332354424,0.12149331724737734,0.29831846568599846
183,0.34642995214226496,0.9346429952142266,0.1217232184194404,0.2992172878913899
184,0.3467764325564771,0.9346776432556477,0.11968104174585506,0.29580170233699543
185,0.34902783935056825,0.9349027839350568,0.11963678715974481,0.29531542769387087
186,0.3503635125403072,0.935036351254031,0.1199214122574367,0.29441599854679074
187,0.35185370588026055,0.9351853705880262,0.1250214243686076,0.2998528597786273
188,0.35147135211608316,0.9351471352116084,0.12410135862729096,0.2995526022458544
189,0.350388739175756,0.9350388739175757,0.12274751625369783,0.2992982278765874
190,0.3497761418770467,0.9349776141877048,0.12540578627384885,0.30398753121215966
191,0.34837703666602854,0.934837703666603,0.12765061812979817,0.30596349344636736
192,0.3470005093739105,0.9347000509373912,0.1281773516449138,0.3062166793935107
193,0.3461371168042587,0.9346137116804261,0.1269153263617353,0.3047861008507335
194,0.3470398554141378,0.9347039855414138,0.127473201717505,0.3071987345526402
195,0.34572461390231923,0.934572461390232,0.12799012634239637,0.30671879290979376
196,0.34554409467053093,0.934554409467053,0.12917715361660315,0.308970437343807
197,0.3434555455901217,0.934345554559012,0.1322385215661841,0.3137696301889147
198,0.34022971016498343,0.9340229710164984,0.13189328199507633,0.31367792611298123
199,0.33606160372975247,0.9336061603729752,0.12794288981616003,0.30981413535933305
200,0.33394923865193693,0.9333949238651937,0.1268139064769604,0.3063240767166877
201,0.3329137098977698,0.9332913709897771,0.12646633502094895,0.3055710476487655
202,0.33240256585415195,0.9332402565854151,0.1255144399610078,0.30420144272524363
203,0.3331064188031693,0.9333106418803171,0.12512790890944608,0.3053297964631933
204,0.3333080918342145,0.9333308091834215,0.1269520196460319,0.3071967488076432
205,0.33260240497663623,0.9332602404976638,0.12814317331231095,0.30756111704995975
206,0.33249867485847157,0.9332498674858473,0.12808446117613062,0.3065515244113888
207,0.33246878706110766,0.9332468787061108,0.12816288845393173,0.30789919439353775
208,0.33176264082297013,0.933176264082297,0.12485882111080883,0.3036116114611189
209,0.3315105502703812,0.9331510550270381,0.12263090066455253,0.29879872225237414
210,0.3333454664516945,0.9333345466451693,0.12229244500955257,0.3000550995340169
211,0.3338740820785728,0.9333874082078573,0.12575010701315265,0.30430933319011044
212,0.33280324906707004,0.933280324906707,0.12360870870767854,0.3030891382022506
213,0.332243261516628,0.933224326151663,0.12456744846531627,0.30127625421610316
214,0.3331869707473531,0.9333186970747354,0.12482826678357056,0.3032270589866291
215,0.3328979913095591,0.9332897991309559,0.12554603274922763,0.3037510963935302
216,0.3332477834740878,0.9333247783474087,0.1266155155450338,0.30395495049245996
217,0.3337634409731994,0.9333763440973201,0.12954547717907341,0.30619355586435393
218,0.33521386663567215,0.9335213866635672,0.12868877882845606,0.30390713831538785
219,0.3369407394347328,0.9336940739434734,0.12888725614891108,0.30527291485809666
