time,K_7.5%,Y_7.5%,K_5%,Y_5%
135,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
136,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
137,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
138,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
139,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
140,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
141,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
142,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
143,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
144,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
145,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
146,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
147,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
148,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
149,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
150,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
151,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
152,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
153,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
154,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
155,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
156,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
157,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
158,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
159,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
160,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
161,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
162,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
163,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
164,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
165,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
166,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
167,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
168,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
169,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
170,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
171,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
172,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
173,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
174,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
175,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
176,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
177,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
178,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
179,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
180,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
181,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
182,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
183,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
184,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
185,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
186,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
187,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
188,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
189,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
190,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
191,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
192,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
193,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
194,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
195,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
196,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
197,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
198,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
199,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
200,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
201,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
202,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
203,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
204,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
205,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
206,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
207,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
208,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
209,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
210,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
211,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
212,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
213,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
214,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
215,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
216,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
217,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
218,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
219,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
220,0.7823547586809683,0.9782354758680968,0.8044681207666131,0.9804468120766613
